2025-12-25T08:30:12+08:00 | 早餐 煎饼果子 8元
2025-12-25T19:15:45+08:00 | 海底捞 58.5 和老王一起
2025-12-26T10:22:03+08:00 | 工资到账 8888
2025-12-29T15:27:08+08:00 | 奖金500元
2025-12-29T15:30:33+08:00 | 给老尹送礼5000元
2025-12-29T16:00:00+08:00 | 停车20元
2025-12-29T16:28:23+08:00 | 全家出游 油费200元 住宿费300元 吃饭100元
2025-12-29T16:35:26+08:00 | iPhone17标准版5499元
2025-12-29T16:38:14+08:00 | 续费AppleMusic 11元
2025-12-29T17:27:16+08:00 | 礼物300元
2025-03-11T08:00:00+08:00 | 奶茶20元
2025-03-22T08:00:00+08:00 | 牛肉面18元
2026-01-04T17:19:02+08:00 | 陪小季看电影 160元
2026-01-13T06:13:39+00:00 | 午饭 汉堡王 29.9元
2026-01-13T14:24:51+08:00 | 晚饭 左亭右院鲜牛肉火锅 200元
